customer_id,customer_name,country,signup_date,source_system
C000000,Customer_0,Polska,2018/04/13,SRC_71
C000001,Customer_1,United Kingdom,03/07/2020,SRC_189
C000002,Customer_2,Polska,23-12-2018,SRC_109
C000003,Customer_3,PL,2018-05-03,SRC_56
C000004,Customer_4,United Kingdom,01-09-2023,SRC_7
C000005,Customer_5,,2020/03/25,SRC_167
C000006,Customer_6,,15/09/2022,SRC_115
C000007,Customer_7,,2021-02-13,SRC_195
C000008,Customer_8,UK,2022.09.28,SRC_72
C000009,Customer_9,UK,2020.05.31,SRC_27
C000010,Customer_10,Polska,2022-04-06,SRC_92
C000011,Customer_11,Germany,2020-12-19,SRC_187
C000012,Customer_12,France,May 27 2019,SRC_21
C000013,Customer_13,,2021/04/15,SRC_159
C000014,Customer_14,Germany,2020/02/27,SRC_18
C000015,Customer_15,PL,2020.07.22,SRC_21
C000016,Customer_16,United Kingdom,February 18 2019,SRC_72
C000017,Customer_17,France,03/02/2022,SRC_95
C000018,Customer_18,Germany,2020/05/08,SRC_69
C000019,Customer_19,Polska,02-12-2019,SRC_187
C000020,Customer_20,United Kingdom,November 01 2019,SRC_98
C000021,Customer_21,DE,2020/06/18,SRC_84
C000022,Customer_22,PL,2020-07-27,SRC_207
C000023,Customer_23,Germany,2022.07.02,SRC_17
C000024,Customer_24,United Kingdom,12/07/2021,SRC_168
C000025,Customer_25,France,2022/06/09,SRC_118
C000026,Customer_26,UK,20/12/2020,SRC_64
C000027,Customer_27,,2020/12/12,SRC_150
C000028,Customer_28,FR,2022.06.24,SRC_57
C000029,Customer_29,UK,September 19 2023,SRC_24
C000030,Customer_30,PL,26/03/2019,SRC_161
C000031,Customer_31,UK,26-09-2022,SRC_17
C000032,Customer_32,FR,13-04-2022,SRC_120
C000033,Customer_33,,26-10-2020,SRC_221
C000034,Customer_34,PL,2019/04/15,SRC_227
C000035,Customer_35,,2020/12/28,SRC_88
C000036,Customer_36,Polska,April 17 2021,SRC_41
C000037,Customer_37,France,2018/01/14,SRC_225
C000038,Customer_38,DE,13/08/2023,SRC_130
C000039,Customer_39,Polska,2021/05/07,SRC_130
C000040,Customer_40,,25/03/2020,SRC_96
C000041,Customer_41,UK,2023-12-13,SRC_154
C000042,Customer_42,Germany,2023-06-25,SRC_29
C000043,Customer_43,Germany,13/06/2021,SRC_15
C000044,Customer_44,United Kingdom,2018-11-19,SRC_188
C000045,Customer_45,France,11-10-2018,SRC_197
C000046,Customer_46,UK,2019/06/10,SRC_122
C000047,Customer_47,,2019.11.08,SRC_136
C000048,Customer_48,,30/09/2022,SRC_238
C000049,Customer_49,,2020/04/03,SRC_80
C000050,Customer_50,FR,March 10 2022,SRC_231
C000051,Customer_51,,2023-01-24,SRC_64
C000052,Customer_52,United Kingdom,2018.09.20,SRC_6
C000053,Customer_53,,31-07-2020,SRC_57
C000054,Customer_54,PL,2018/10/18,SRC_162
C000055,Customer_55,PL,2020-07-26,SRC_232
C000056,Customer_56,PL,2021-09-15,SRC_132
C000057,Customer_57,United Kingdom,2021/02/14,SRC_125
C000058,Customer_58,United Kingdom,2019/06/26,SRC_240
C000059,Customer_59,,21/04/2023,SRC_201
C000060,Customer_60,France,26/07/2022,SRC_25
C000061,Customer_61,Polska,2022.11.01,SRC_109
C000062,Customer_62,FR,2023/03/28,SRC_14
C000063,Customer_63,Polska,September 06 2018,SRC_187
C000064,Customer_64,Germany,24/03/2019,SRC_50
C000065,Customer_65,United Kingdom,12/01/2023,SRC_109
C000066,Customer_66,UK,February 14 2021,SRC_64
C000067,Customer_67,Polska,21-12-2022,SRC_26
C000068,Customer_68,PL,2018-03-02,SRC_238
C000069,Customer_69,United Kingdom,November 13 2019,SRC_125
C000070,Customer_70,France,May 25 2020,SRC_232
C000071,Customer_71,PL,November 06 2019,SRC_1
C000072,Customer_72,FR,December 22 2020,SRC_74
C000073,Customer_73,FR,17/06/2023,SRC_49
C000074,Customer_74,DE,2020-06-10,SRC_149
C000075,Customer_75,,2018/09/07,SRC_81
C000076,Customer_76,PL,25-07-2018,SRC_123
C000077,Customer_77,,16/12/2023,SRC_15
C000078,Customer_78,,25/11/2018,SRC_18
C000079,Customer_79,,2018/10/06,SRC_221
C000080,Customer_80,United Kingdom,2022-07-12,SRC_242
C000081,Customer_81,,05-10-2020,SRC_153
C000082,Customer_82,PL,December 02 2018,SRC_169
C000083,Customer_83,,2023.11.12,SRC_240
C000084,Customer_84,DE,2020/04/16,SRC_184
C000085,Customer_85,Germany,2020.09.04,SRC_102
C000086,Customer_86,UK,May 13 2021,SRC_81
C000087,Customer_87,Polska,February 08 2018,SRC_160
C000088,Customer_88,,2019-02-14,SRC_138
C000089,Customer_89,United Kingdom,2023.09.04,SRC_34
C000090,Customer_90,Germany,09/10/2018,SRC_95
C000091,Customer_91,DE,October 09 2019,SRC_214
C000092,Customer_92,,24-05-2021,SRC_207
C000093,Customer_93,,2018/02/02,SRC_210
C000094,Customer_94,,2021/05/11,SRC_27
C000095,Customer_95,UK,2020-12-19,SRC_228
C000096,Customer_96,Polska,2019.09.29,SRC_73
C000097,Customer_97,,2020/05/12,SRC_88
C000098,Customer_98,United Kingdom,17-12-2020,SRC_126
C000099,Customer_99,DE,2018-07-28,SRC_163
C000100,Customer_100,FR,2021-02-07,SRC_1
C000101,Customer_101,Germany,2019/06/20,SRC_68
C000102,Customer_102,UK,15-12-2022,SRC_181
C000103,Customer_103,FR,2018-02-09,SRC_20
C000104,Customer_104,UK,2018.05.28,SRC_150
C000105,Customer_105,,August 30 2019,SRC_33
C000106,Customer_106,PL,2021.06.16,SRC_231
C000107,Customer_107,PL,05/01/2022,SRC_175
C000108,Customer_108,United Kingdom,2019.02.26,SRC_200
C000109,Customer_109,,23-07-2022,SRC_192
C000110,Customer_110,UK,27/08/2020,SRC_250
C000111,Customer_111,UK,2022-08-16,SRC_46
C000112,Customer_112,Germany,2022/08/14,SRC_222
C000113,Customer_113,United Kingdom,28/12/2020,SRC_202
C000114,Customer_114,Polska,2022-04-16,SRC_220
C000115,Customer_115,France,30/06/2020,SRC_210
C000116,Customer_116,France,2021.12.03,SRC_211
C000117,Customer_117,United Kingdom,2020-07-02,SRC_169
C000118,Customer_118,United Kingdom,2022.06.21,SRC_72
C000119,Customer_119,Polska,2021.02.17,SRC_165
C000120,Customer_120,,2022/06/26,SRC_216
C000121,Customer_121,,2021-09-18,SRC_30
C000122,Customer_122,DE,02-01-2020,SRC_247
C000123,Customer_123,DE,2018-06-06,SRC_153
C000124,Customer_124,FR,2021/11/16,SRC_202
C000125,Customer_125,Germany,23-11-2022,SRC_131
C000126,Customer_126,Polska,27-04-2022,SRC_49
C000127,Customer_127,DE,2018/07/01,SRC_112
C000128,Customer_128,PL,31-10-2023,SRC_176
C000129,Customer_129,United Kingdom,January 31 2022,SRC_18
C000130,Customer_130,Germany,2021/07/09,SRC_218
C000131,Customer_131,Polska,15-05-2021,SRC_80
C000132,Customer_132,FR,August 29 2021,SRC_179
C000133,Customer_133,DE,06/06/2019,SRC_108
C000134,Customer_134,FR,14-12-2019,SRC_146
C000135,Customer_135,DE,22-07-2022,SRC_214
C000136,Customer_136,PL,2021.05.29,SRC_54
C000137,Customer_137,FR,August 12 2021,SRC_114
C000138,Customer_138,France,25-05-2020,SRC_122
C000139,Customer_139,UK,2018.12.14,SRC_132
C000140,Customer_140,,2021-10-04,SRC_210
C000141,Customer_141,United Kingdom,25/06/2021,SRC_207
C000142,Customer_142,United Kingdom,2019-08-27,SRC_12
C000143,Customer_143,United Kingdom,01-05-2023,SRC_218
C000144,Customer_144,Polska,February 09 2023,SRC_227
C000145,Customer_145,,2020/03/07,SRC_179
C000146,Customer_146,FR,July 18 2023,SRC_63
C000147,Customer_147,UK,2018-01-23,SRC_200
C000148,Customer_148,FR,15/06/2020,SRC_206
