return_id,order_id,return_date,reason,source_system
R0000000,99999999,2023/04/14,Defect,SRC_132
R0000001,99999999,24/11/2024,Complaint,SRC_185
R0000002,125323,13-05-2021,Wrong item,SRC_17
R0000003,106877,June 23 2023,,SRC_27
R0000004,117995,September 12 2022,Wrong item,SRC_172
R0000005,99999999,2023/06/18,Defect,SRC_5
R0000006,99999999,2024-12-28,Wrong item,SRC_184
R0000007,99999999,26-03-2023,,SRC_30
R0000008,99999999,2021.03.03,Defect,SRC_81
R0000009,99999999,09-07-2023,Wrong item,SRC_204
R0000010,121637,03-04-2023,Complaint,SRC_7
R0000011,107592,2023.12.23,,SRC_153
R0000012,99999999,2022.06.19,,SRC_50
R0000013,104184,10-05-2021,,SRC_173
R0000014,128379,02/12/2023,,SRC_18
R0000015,105123,2021-03-09,,SRC_138
R0000016,99999999,November 03 2024,,SRC_116
R0000017,115689,April 27 2022,,SRC_200
R0000018,99999999,18/05/2021,,SRC_172
R0000019,149372,December 18 2022,,SRC_142
R0000020,99999999,17-11-2022,Wrong item,SRC_70
R0000021,99999999,2022.10.03,,SRC_221
R0000022,99999999,09-11-2022,Defect,SRC_191
R0000023,106708,15-01-2022,Wrong item,SRC_139
R0000024,99999999,2022/03/04,Defect,SRC_235
R0000025,99999999,June 17 2023,Wrong item,SRC_26
R0000026,117416,08/04/2023,Wrong item,SRC_11
R0000027,99999999,October 29 2023,,SRC_129
R0000028,142257,20/02/2022,Wrong item,SRC_29
R0000029,99999999,2021.02.09,Defect,SRC_16
R0000030,109665,27/04/2023,Wrong item,SRC_195
R0000031,99999999,2024/02/24,,SRC_95
R0000032,99999999,11-11-2023,Defect,SRC_121
R0000033,99999999,September 23 2023,Wrong item,SRC_35
R0000034,114204,2023-06-05,Defect,SRC_238
R0000035,99999999,2021-11-20,Complaint,SRC_93
R0000036,99999999,2022.01.21,,SRC_108
R0000037,133614,2024/11/17,Complaint,SRC_25
R0000038,99999999,2024/06/09,Wrong item,SRC_169
R0000039,121585,2021-11-14,,SRC_71
R0000040,116744,07/01/2022,Defect,SRC_198
R0000041,147688,09/09/2022,Defect,SRC_43
R0000042,112084,May 29 2024,,SRC_47
R0000043,99999999,October 23 2023,,SRC_71
R0000044,99999999,08-10-2024,,SRC_70
R0000045,133948,13-12-2022,Defect,SRC_118
R0000046,99999999,2022.04.18,Wrong item,SRC_115
R0000047,99999999,April 09 2024,,SRC_168
R0000048,149728,02/07/2021,Defect,SRC_170
R0000049,112752,April 28 2022,,SRC_165
R0000050,99999999,2023.01.22,Defect,SRC_125
R0000051,99999999,2024.12.29,,SRC_86
R0000052,99999999,20-06-2024,Defect,SRC_149
R0000053,137824,2022-07-14,,SRC_53
R0000054,99999999,28-10-2024,,SRC_83
R0000055,106184,2022/06/21,Defect,SRC_30
R0000056,99999999,19-01-2021,Defect,SRC_228
R0000057,103258,04/05/2021,Defect,SRC_135
R0000058,127854,23-09-2023,Defect,SRC_127
R0000059,119025,2023/01/08,Complaint,SRC_25
R0000060,108360,19/11/2023,Complaint,SRC_33
R0000061,99999999,October 21 2021,,SRC_58
R0000062,99999999,31/01/2021,,SRC_119
R0000063,99999999,2022-09-19,Wrong item,SRC_28
R0000064,99999999,June 23 2022,,SRC_109
R0000065,99999999,2023/05/16,,SRC_205
R0000066,103692,2024/01/11,Defect,SRC_188
R0000067,111419,2024/05/19,Wrong item,SRC_150
R0000068,119108,2021-09-03,,SRC_143
R0000069,99999999,2022-12-20,,SRC_227
R0000070,147586,March 29 2022,Wrong item,SRC_154
R0000071,99999999,2023.11.27,Wrong item,SRC_177
R0000072,99999999,March 17 2022,Defect,SRC_75
R0000073,99999999,November 01 2023,,SRC_245
R0000074,99999999,2022.04.20,Defect,SRC_118
R0000075,99999999,03-02-2021,,SRC_177
R0000076,109708,18/10/2022,,SRC_17
R0000077,133939,2024-01-11,,SRC_83
R0000078,99999999,August 21 2021,,SRC_132
R0000079,99999999,27-07-2022,,SRC_75
R0000080,99999999,10-03-2023,Wrong item,SRC_93
R0000081,99999999,23/05/2023,,SRC_105
R0000082,99999999,06-05-2022,Wrong item,SRC_71
R0000083,99999999,06/04/2023,,SRC_22
R0000084,139447,24/10/2022,,SRC_156
R0000085,99999999,29/03/2021,Wrong item,SRC_22
R0000086,128437,January 27 2024,Wrong item,SRC_49
R0000087,148345,October 31 2023,,SRC_187
R0000088,99999999,25-11-2024,Wrong item,SRC_60
R0000089,99999999,July 22 2021,Complaint,SRC_247
R0000090,99999999,April 25 2021,,SRC_15
R0000091,149358,2021-10-05,Wrong item,SRC_219
R0000092,99999999,2022-11-25,Wrong item,SRC_75
R0000093,137067,2024/03/07,,SRC_21
R0000094,99999999,27/01/2022,Complaint,SRC_240
R0000095,141726,2021.02.24,Wrong item,SRC_215
R0000096,99999999,22/04/2022,Wrong item,SRC_45
R0000097,99999999,31/08/2022,Complaint,SRC_88
R0000098,124691,2024.01.26,,SRC_205
R0000099,122628,2022/11/14,Wrong item,SRC_202
R0000100,102260,25-01-2024,,SRC_79
R0000101,124872,2024/09/02,Complaint,SRC_129
R0000102,99999999,13/05/2023,Wrong item,SRC_148
R0000103,100021,May 14 2023,,SRC_244
R0000104,99999999,26/11/2021,Complaint,SRC_62
R0000105,99999999,2021/09/24,Complaint,SRC_217
R0000106,128858,2023-07-23,,SRC_108
R0000107,99999999,22-05-2024,Wrong item,SRC_164
R0000108,135438,25-02-2021,Complaint,SRC_164
R0000109,99999999,21-11-2021,,SRC_103
R0000110,109175,April 11 2023,Defect,SRC_163
R0000111,125113,03/10/2021,,SRC_143
R0000112,99999999,2022-06-14,Defect,SRC_217
R0000113,109176,December 08 2023,,SRC_137
R0000114,126466,August 31 2023,Wrong item,SRC_206
R0000115,99999999,2024-09-08,Defect,SRC_250
R0000116,99999999,2023.02.14,Defect,SRC_168
R0000117,132697,July 08 2022,Wrong item,SRC_35
R0000118,120264,16/02/2024,,SRC_182
R0000119,99999999,2024-11-17,Defect,SRC_240
R0000120,136873,19/12/2024,,SRC_215
R0000121,113179,22-12-2021,Complaint,SRC_73
R0000122,110558,2022/11/30,Wrong item,SRC_229
R0000123,99999999,2023.02.15,,SRC_118
R0000124,103234,2021/07/30,Complaint,SRC_152
R0000125,99999999,10/12/2023,Defect,SRC_167
R0000126,137230,January 17 2023,,SRC_207
R0000127,131215,May 09 2023,Defect,SRC_246
R0000128,140292,2021-08-18,Defect,SRC_97
R0000129,99999999,2021.05.15,Wrong item,SRC_93
R0000130,131983,02/11/2023,,SRC_154
R0000131,99999999,2023-01-03,,SRC_37
R0000132,99999999,2021-05-08,Complaint,SRC_63
R0000133,135459,2023-04-07,,SRC_133
R0000134,99999999,July 26 2023,,SRC_97
R0000135,118345,2021/11/17,,SRC_90
R0000136,127631,2024.01.14,,SRC_185
R0000137,146832,16-01-2022,,SRC_75
R0000138,99999999,2021/08/04,,SRC_101
R0000139,99999999,April 07 2021,Wrong item,SRC_190
R0000140,139421,10-06-2023,,SRC_121
R0000141,109145,2022/05/04,Defect,SRC_86
R0000142,125215,07/07/2023,Complaint,SRC_83
R0000143,99999999,December 21 2024,,SRC_82
R0000144,99999999,2022.09.24,Defect,SRC_221
R0000145,99999999,28/10/2021,,SRC_199
R0000146,99999999,2022-01-30,Wrong item,SRC_1
R0000147,99999999,2022/08/01,Complaint,SRC_179
R0000148,122253,02-08-2022,Complaint,SRC_188
R0000149,99999999,May 05 2021,,SRC_164
R0000150,99999999,13/08/2022,Wrong item,SRC_86
R0000151,99999999,24-05-2021,,SRC_136
R0000152,99999999,27-08-2024,,SRC_57
R0000153,130816,2022-04-21,,SRC_37
R0000154,145844,04-05-2024,,SRC_245
R0000155,111967,August 19 2024,,SRC_2
R0000156,145984,07/10/2022,,SRC_242
R0000157,99999999,2023-11-24,Wrong item,SRC_27
R0000158,109292,09-04-2024,Complaint,SRC_227
R0000159,99999999,2021.04.26,,SRC_242
R0000160,99999999,21-08-2023,Defect,SRC_193
R0000161,124141,22-10-2022,Wrong item,SRC_55
R0000162,106453,September 30 2024,,SRC_203
R0000163,112649,21/06/2022,,SRC_92
R0000164,147702,13-06-2021,Defect,SRC_198
R0000165,99999999,23/06/2021,Wrong item,SRC_242
R0000166,104487,29/08/2024,,SRC_205
R0000167,99999999,2022.05.13,,SRC_201
R0000168,99999999,2023-02-02,Wrong item,SRC_13
R0000169,104330,23/12/2023,,SRC_55
R0000170,99999999,April 20 2022,Defect,SRC_235
R0000171,99999999,2024.04.12,Wrong item,SRC_27
R0000172,141735,05/08/2024,Wrong item,SRC_190
R0000173,99999999,13/09/2022,,SRC_111
R0000174,99999999,2024-11-15,,SRC_74
R0000175,116390,2023-12-21,Defect,SRC_119
R0000176,125514,08/06/2022,,SRC_13
R0000177,99999999,23-08-2022,Wrong item,SRC_18
R0000178,119758,2022.05.25,Complaint,SRC_4
R0000179,130644,2023.06.07,Complaint,SRC_18
R0000180,106526,2023.02.17,Defect,SRC_37
R0000181,99999999,30/08/2023,,SRC_220
R0000182,113259,2023/03/25,Defect,SRC_51
R0000183,112777,09/12/2024,Defect,SRC_213
R0000184,99999999,December 18 2021,Wrong item,SRC_67
R0000185,99999999,2021.11.27,Complaint,SRC_209
R0000186,99999999,18/11/2024,Complaint,SRC_66
R0000187,145257,April 10 2021,,SRC_167
R0000188,127402,25/03/2024,Defect,SRC_162
R0000189,99999999,19/02/2023,Wrong item,SRC_163
R0000190,99999999,26-11-2022,Wrong item,SRC_24
R0000191,133995,2021/10/13,Defect,SRC_179
R0000192,113946,28/12/2021,Defect,SRC_122
R0000193,99999999,2022.04.04,Complaint,SRC_145
R0000194,99999999,2022.12.20,Wrong item,SRC_78
R0000195,99999999,2022/07/31,Complaint,SRC_161
R0000196,144710,December 19 2021,,SRC_157
R0000197,131468,06/06/2021,Defect,SRC_131
R0000198,99999999,2021.01.12,Wrong item,SRC_49
R0000199,101386,15/11/2021,Defect,SRC_115
R0000200,108185,February 27 2023,Complaint,SRC_207
R0000201,99999999,2022/12/11,Complaint,SRC_231
R0000202,146741,13/05/2024,Wrong item,SRC_100
R0000203,99999999,2021-10-19,,SRC_36
R0000204,99999999,2021.04.01,,SRC_196
R0000205,99999999,August 18 2024,,SRC_84
R0000206,126629,2023.07.09,Defect,SRC_126
R0000207,122703,2022.05.14,,SRC_59
R0000208,121651,26-11-2021,,SRC_3
R0000209,146212,July 22 2022,Wrong item,SRC_51
R0000210,99999999,26/12/2021,Complaint,SRC_181
R0000211,109211,2022.02.09,,SRC_225
R0000212,101855,30-11-2024,,SRC_41
R0000213,99999999,07/05/2023,,SRC_131
R0000214,113149,2022/09/17,Complaint,SRC_109
R0000215,117831,19/11/2022,,SRC_7
R0000216,105683,2022-12-17,,SRC_109
R0000217,99999999,2024.05.09,Complaint,SRC_197
R0000218,127451,2021-02-18,Wrong item,SRC_223
R0000219,117448,2024-10-12,Wrong item,SRC_104
R0000220,99999999,07/08/2023,,SRC_179
R0000221,99999999,2022-10-29,Wrong item,SRC_31
R0000222,115216,2024-06-03,Defect,SRC_60
R0000223,99999999,2021-08-27,Defect,SRC_55
R0000224,99999999,2021/08/12,,SRC_176
R0000225,99999999,2023/03/28,Defect,SRC_60
R0000226,127268,14-01-2021,Complaint,SRC_55
R0000227,99999999,2024/06/13,Complaint,SRC_200
R0000228,115390,2023.02.15,,SRC_204
R0000229,99999999,2021-09-10,,SRC_88
R0000230,127126,2024.03.17,Defect,SRC_85
R0000231,139556,2024-01-17,Wrong item,SRC_136
R0000232,126056,February 25 2024,,SRC_92
R0000233,118142,2024.02.01,,SRC_246
R0000234,148545,January 26 2021,Wrong item,SRC_130
R0000235,99999999,2023-03-11,,SRC_55
R0000236,116259,12/04/2023,Wrong item,SRC_153
R0000237,99999999,29/09/2021,Wrong item,SRC_152
R0000238,103109,10/06/2024,Defect,SRC_31
R0000239,112644,01/05/2021,Defect,SRC_36
R0000240,99999999,2022/04/19,Complaint,SRC_171
R0000241,99999999,2021-01-27,Complaint,SRC_177
R0000242,107881,2022-01-29,Defect,SRC_213
R0000243,99999999,09-09-2022,,SRC_164
R0000244,109653,December 07 2024,Complaint,SRC_247
R0000245,99999999,January 22 2023,,SRC_154
R0000246,99999999,2021/12/16,Complaint,SRC_224
R0000247,99999999,31-12-2022,Complaint,SRC_35
R0000248,100503,2022.06.26,Defect,SRC_103
R0000249,99999999,February 14 2024,,SRC_39
R0000250,99999999,2023.12.21,,SRC_27
R0000251,119643,2021.06.10,Defect,SRC_230
R0000252,126263,2023-09-08,Wrong item,SRC_230
R0000253,145832,15/09/2023,,SRC_111
R0000254,115163,07/10/2022,Defect,SRC_177
R0000255,99999999,12/09/2023,Defect,SRC_182
R0000256,99999999,19/04/2021,,SRC_97
R0000257,99999999,2024/12/23,Wrong item,SRC_60
R0000258,99999999,2024-10-16,Complaint,SRC_237
R0000259,137062,2023.08.24,,SRC_191
R0000260,99999999,16/11/2024,,SRC_182
R0000261,99999999,2023-08-07,Defect,SRC_140
