order_id,order_date,customer_id,product_id,quantity,unit_price,currency,source_system
100000,26/09/2022,,P01312,-1,null,PLN,SRC_166
100001,2024-01-29,,P00202,-1,null,EUR,SRC_206
100002,2023/02/18,,P99999,-1,null,EUR,SRC_121
100003,2023.10.05,,P00242,-1,"705 33,85",USD,SRC_181
100004,2023.07.23,,P01082,-1,"846 73,35",USD,SRC_100
100005,March 03 2024,,P99999,-1,null,EUR,SRC_60
100006,2022.06.11,,P01418,3,null,EUR,SRC_203
100007,2023.08.20,,P99999,-1,578,USD,SRC_39
100008,10-09-2024,C006749,P99999,-1,993,PLN,SRC_117
100009,2023-10-13,C010053,P01251,-1,"34 30,57",USD,SRC_241
100010,05/03/2022,,P01071,-1,"1115 63,61",USD,SRC_121
100011,2024-01-04,C001741,P01179,5,1273,USD,SRC_198
100012,2023/09/16,C006462,P99999,4,852,USD,SRC_113
100013,December 16 2024,,P00476,-1,"445 68,15",PLN,SRC_37
100014,19/04/2024,,P99999,3,832,EUR,SRC_146
100015,September 23 2024,,P99999,-1,1350,EUR,SRC_27
100016,2022-09-28,,P00778,1,null,PLN,SRC_230
100017,06-06-2023,,P00018,5,809,PLN,SRC_74
100018,December 28 2023,,P99999,5,"98 10,76",PLN,SRC_23
100019,10/10/2023,C004922,P00557,-1,null,PLN,SRC_119
100020,16-05-2024,C006836,P01334,-1,"1188 95,25",PLN,SRC_213
100021,November 05 2023,,P00316,-1,826,PLN,SRC_107
100022,25-12-2022,,P99999,3,1114,PLN,SRC_163
100023,24/09/2024,C010950,P99999,3,896,USD,SRC_229
100024,2024.01.12,,P00130,1,862,USD,SRC_45
100025,2024.06.11,,P00106,5,254,USD,SRC_54
100026,15/11/2023,,P00536,-1,null,USD,SRC_1
100027,2024/10/13,C008375,P99999,-1,"169 31,94",EUR,SRC_173
100028,14-07-2023,,P00649,3,null,EUR,SRC_197
100029,July 06 2023,,P00159,-1,null,EUR,SRC_28
100030,16-07-2022,,P99999,-1,"338 42,30",PLN,SRC_81
100031,2024.12.31,,P99999,3,676,USD,SRC_5
100032,06-05-2022,,P00431,-1,"117 60,71",PLN,SRC_226
100033,2023/12/02,,P00055,-1,"1318 93,97",PLN,SRC_191
100034,November 22 2022,C002329,P99999,-1,null,EUR,SRC_96
100035,2024.02.27,,P01416,2,"1253 74,98",PLN,SRC_8
100036,2023-12-21,,P99999,-1,null,USD,SRC_88
100037,14/09/2024,,P99999,5,null,USD,SRC_111
100038,2024/01/11,,P99999,4,719,PLN,SRC_172
100039,2023/10/17,,P00957,2,null,EUR,SRC_92
100040,December 01 2024,C005377,P01187,2,"1014 43,84",EUR,SRC_103
100041,April 07 2022,C004710,P01189,-1,"1111 32,61",USD,SRC_43
100042,26/03/2022,,P99999,-1,1195,PLN,SRC_233
100043,2022-01-01,C001107,P00118,-1,"388 78,87",USD,SRC_102
100044,02/06/2023,C007103,P99999,-1,79,USD,SRC_147
100045,2023.03.27,,P99999,3,"1455 90,03",PLN,SRC_245
100046,2023-01-30,C010672,P99999,1,null,PLN,SRC_16
100047,2024.10.05,,P99999,3,69,PLN,SRC_143
100048,2023-04-27,,P00287,-1,595,PLN,SRC_10
100049,2024-02-19,C006446,P99999,-1,"948 67,68",PLN,SRC_66
100050,08-09-2022,C001931,P99999,2,null,USD,SRC_185
100051,2022/04/06,,P99999,-1,null,EUR,SRC_190
100052,09-11-2023,,P99999,4,null,EUR,SRC_223
100053,2023/10/18,,P99999,5,null,USD,SRC_150
100054,2023/03/22,,P99999,3,"464 98,05",EUR,SRC_81
100055,15/03/2023,C004334,P99999,5,"73 59,04",PLN,SRC_101
100056,2024.08.17,,P99999,-1,"615 91,11",USD,SRC_36
100057,2023-12-01,,P00288,1,203,PLN,SRC_100
100058,2023/04/07,C004066,P01114,3,1481,USD,SRC_21
100059,08/08/2022,,P99999,3,1415,EUR,SRC_33
100060,2022-07-09,,P99999,5,null,EUR,SRC_107
100061,28/05/2024,C006020,P99999,-1,"1011 25,83",PLN,SRC_4
100062,2024-07-14,,P99999,-1,"649 12,37",EUR,SRC_224
100063,September 29 2023,,P00687,-1,670,EUR,SRC_237
100064,17-02-2024,,P99999,4,201,USD,SRC_231
100065,2024-03-01,,P00329,4,null,EUR,SRC_183
100066,2022/05/07,,P99999,-1,"1386 80,94",PLN,SRC_15
100067,September 21 2023,C008049,P99999,1,null,EUR,SRC_176
100068,16/04/2023,,P99999,2,"909 23,70",EUR,SRC_185
100069,April 16 2024,,P00395,5,"739 10,81",EUR,SRC_239
100070,2023.02.14,C009296,P00834,-1,1089,EUR,SRC_158
100071,2023.05.25,C007982,P99999,-1,null,EUR,SRC_191
100072,18/08/2023,,P99999,-1,"287 77,81",EUR,SRC_136
100073,2023/04/29,,P00989,5,null,PLN,SRC_144
100074,24-03-2022,,P00542,4,"917 61,26",PLN,SRC_87
100075,2024-12-03,,P99999,-1,"476 34,00",USD,SRC_114
100076,2023.06.01,,P00698,-1,1076,PLN,SRC_106
100077,2022-12-31,,P99999,1,null,USD,SRC_77
100078,2023.11.03,,P99999,1,1418,USD,SRC_135
100079,March 31 2022,,P99999,-1,"255 28,69",PLN,SRC_46
100080,July 23 2024,,P01097,-1,null,PLN,SRC_236
100081,2023.06.09,,P01108,4,528,PLN,SRC_125
100082,2024/05/18,,P00834,3,null,PLN,SRC_9
100083,2022.07.24,,P00455,2,null,USD,SRC_3
100084,22/07/2022,,P00150,-1,null,USD,SRC_87
100085,03-02-2023,,P99999,-1,null,PLN,SRC_169
100086,2023-01-29,,P00327,5,null,EUR,SRC_84
100087,2023-08-29,,P01157,-1,null,EUR,SRC_143
100088,16/07/2024,C008596,P00345,-1,"675 53,22",PLN,SRC_142
100089,2022.01.17,,P00052,5,"34 89,31",EUR,SRC_238
100090,February 04 2023,C008815,P99999,-1,null,PLN,SRC_14
100091,2023-01-26,C007443,P00125,4,1228,EUR,SRC_242
100092,12/03/2024,,P00551,3,"1204 71,07",USD,SRC_230
100093,September 17 2022,,P01358,-1,"336 84,71",EUR,SRC_138
100094,2023.05.02,C009564,P99999,-1,1281,EUR,SRC_156
100095,2022-07-01,C009984,P00470,-1,"1094 64,44",USD,SRC_167
100096,2023.03.29,,P00441,4,737,USD,SRC_125
100097,19/01/2024,,P01303,-1,null,USD,SRC_195
100098,2022/04/27,,P99999,-1,"1304 84,20",PLN,SRC_119
100099,06-11-2024,,P01412,-1,null,USD,SRC_246
100100,September 05 2022,C010261,P99999,-1,null,EUR,SRC_11
100101,01-04-2022,,P99999,3,"1030 84,23",USD,SRC_164
100102,2022.02.16,C007484,P99999,3,934,USD,SRC_38
100103,2022.09.21,,P99999,5,569,USD,SRC_187
100104,2022-01-28,,P01422,2,"798 19,34",EUR,SRC_159
100105,August 08 2023,C011114,P00009,3,null,EUR,SRC_232
100106,2022.10.12,,P00870,-1,346,USD,SRC_123
100107,2024.09.19,,P00497,5,null,USD,SRC_8
100108,2022/07/13,C000930,P99999,-1,null,PLN,SRC_130
100109,2022.01.30,C002205,P01388,2,1174,EUR,SRC_117
100110,26/05/2023,,P01336,-1,null,EUR,SRC_89
100111,2022.10.12,,P99999,-1,807,USD,SRC_123
100112,11/12/2024,,P99999,1,379,EUR,SRC_67
100113,2024/04/09,,P00510,-1,null,EUR,SRC_163
100114,2024.11.07,,P99999,-1,null,EUR,SRC_55
100115,February 06 2023,,P99999,1,null,PLN,SRC_51
100116,2024/12/31,,P99999,-1,"354 22,73",USD,SRC_49
100117,2023/05/20,,P99999,4,null,USD,SRC_97
100118,2024/06/23,,P99999,-1,null,EUR,SRC_155
100119,November 14 2022,,P99999,-1,null,EUR,SRC_199
100120,September 09 2024,,P01092,-1,null,USD,SRC_171
100121,September 11 2024,,P99999,5,null,EUR,SRC_163
100122,14/10/2023,C011888,P99999,5,null,PLN,SRC_35
100123,2024-05-09,,P99999,3,638,USD,SRC_95
100124,June 23 2024,,P00766,-1,91,USD,SRC_62
100125,12/07/2024,,P01423,-1,null,EUR,SRC_84
100126,20/12/2022,,P01419,-1,"731 40,63",EUR,SRC_46
100127,2024.08.10,,P99999,5,294,USD,SRC_15
100128,12/11/2022,,P00525,2,1312,EUR,SRC_60
100129,2023.08.31,C003405,P99999,1,"1350 95,48",USD,SRC_94
100130,2024.03.26,,P00826,-1,"97 21,42",EUR,SRC_185
100131,2022.06.30,,P01489,3,null,EUR,SRC_237
100132,2024.11.05,,P99999,-1,"367 49,06",USD,SRC_63
100133,2023.11.15,,P00314,3,"674 92,46",EUR,SRC_230
100134,2022-06-07,,P00034,-1,296,EUR,SRC_217
100135,05/12/2022,C004390,P99999,-1,"877 71,85",EUR,SRC_94
100136,January 03 2024,,P00759,5,null,EUR,SRC_77
100137,December 21 2024,,P00086,-1,null,PLN,SRC_118
100138,September 15 2022,,P99999,-1,"535 58,47",EUR,SRC_207
100139,2023-10-07,,P99999,-1,null,USD,SRC_10
100140,2024.03.25,,P99999,2,"433 21,37",EUR,SRC_62
100141,2022-02-07,C006542,P01413,5,"96 54,72",USD,SRC_218
100142,May 20 2023,,P01211,-1,null,EUR,SRC_28
100143,01/10/2022,C003543,P99999,-1,null,EUR,SRC_239
100144,2023.11.07,C002234,P00535,-1,null,PLN,SRC_199
100145,2022-04-25,C000446,P00390,4,349,USD,SRC_61
100146,2023-11-13,,P01000,-1,1257,EUR,SRC_30
100147,September 19 2024,,P99999,-1,null,EUR,SRC_118
100148,14/01/2024,C006159,P00563,5,null,PLN,SRC_101
100149,19/05/2023,C006172,P99999,2,null,PLN,SRC_108
100150,May 22 2022,,P00383,-1,1191,USD,SRC_116
100151,20/07/2024,,P99999,2,null,PLN,SRC_43
100152,17/01/2023,C008684,P00403,-1,465,USD,SRC_8
100153,28/02/2024,,P99999,1,371,EUR,SRC_237
100154,25/11/2022,C009670,P99999,-1,null,USD,SRC_57
100155,2023/04/10,,P99999,4,"1441 78,88",USD,SRC_245
100156,2024.07.29,,P99999,5,null,USD,SRC_242
100157,18-01-2024,,P01248,3,568,USD,SRC_124
100158,11-01-2024,C005661,P01041,-1,null,PLN,SRC_4
100159,January 12 2022,,P00862,-1,630,USD,SRC_117
100160,August 07 2023,,P00716,5,null,EUR,SRC_223
100161,2024-01-14,,P00780,-1,373,PLN,SRC_174
100162,2024/01/26,,P00541,1,"773 45,94",USD,SRC_78
100163,27/05/2022,,P99999,4,null,EUR,SRC_146
100164,2024.04.03,C007927,P00508,-1,"369 36,98",USD,SRC_40
100165,February 18 2022,,P01487,-1,471,PLN,SRC_179
100166,March 02 2023,,P99999,2,null,EUR,SRC_137
100167,2023/05/22,,P00747,1,842,USD,SRC_114
100168,July 31 2023,,P99999,-1,1056,USD,SRC_240
100169,2023-04-22,,P99999,5,"101 93,08",PLN,SRC_76
100170,17-08-2023,,P99999,2,1007,USD,SRC_151
100171,2022-02-10,,P01196,1,null,PLN,SRC_188
100172,24-08-2023,C002834,P00580,-1,"612 07,33",PLN,SRC_16
100173,2024-07-27,,P01402,1,"732 47,01",EUR,SRC_187
100174,05-12-2024,,P00648,-1,931,USD,SRC_30
100175,2023-07-02,,P99999,-1,"845 02,72",EUR,SRC_185
100176,September 27 2022,C007768,P01403,-1,"491 69,49",EUR,SRC_32
100177,2022-08-29,,P99999,-1,"445 96,47",EUR,SRC_29
100178,March 15 2022,,P99999,-1,670,PLN,SRC_32
100179,March 15 2022,,P00152,2,null,USD,SRC_79
100180,2023/10/20,,P99999,-1,"1400 75,16",PLN,SRC_105
100181,2022-03-21,C011012,P01192,1,"1464 34,98",USD,SRC_157
100182,2024-10-31,,P99999,1,null,USD,SRC_115
100183,2023/09/19,,P99999,5,412,USD,SRC_85
100184,01/04/2022,,P00533,4,null,EUR,SRC_216
100185,2024.06.14,C008989,P00170,3,null,EUR,SRC_38
100186,10/07/2023,,P99999,-1,1378,EUR,SRC_118
100187,2024-11-05,,P00006,3,1316,PLN,SRC_184
100188,25/03/2023,,P00930,1,"1395 31,55",USD,SRC_100
100189,2022-12-02,,P99999,1,null,USD,SRC_235
100190,07-05-2024,C006934,P00179,-1,"23 86,30",USD,SRC_146
100191,2023/01/05,,P99999,4,1102,PLN,SRC_228
100192,28/02/2023,,P99999,-1,1336,EUR,SRC_3
100193,2023.11.29,,P01322,-1,null,PLN,SRC_12
100194,2024/05/02,C010189,P00738,5,624,PLN,SRC_150
100195,2023-08-13,,P99999,-1,"118 47,01",USD,SRC_163
100196,March 28 2022,C006536,P01190,5,451,EUR,SRC_134
100197,24-06-2023,C000235,P00274,-1,"591 72,89",EUR,SRC_112
100198,2024.06.17,C006084,P01419,3,null,PLN,SRC_86
100199,2024.07.01,,P00270,-1,null,EUR,SRC_10
100200,10-02-2023,C000964,P99999,-1,986,PLN,SRC_198
100201,2023-10-28,C005168,P99999,3,null,PLN,SRC_44
100202,April 27 2022,C008940,P01464,-1,"1125 11,00",PLN,SRC_163
100203,2022-10-21,C008237,P99999,-1,"39 76,87",USD,SRC_119
100204,December 13 2023,,P99999,-1,57,EUR,SRC_67
100205,2023.10.02,C009817,P00574,-1,"1395 90,51",EUR,SRC_246
100206,17/10/2022,C011296,P99999,-1,null,PLN,SRC_44
100207,2024-02-21,,P99999,-1,"1496 42,74",USD,SRC_136
100208,October 12 2023,,P99999,5,941,EUR,SRC_49
100209,10-05-2022,C000698,P99999,-1,642,EUR,SRC_58
100210,2023/04/05,,P99999,1,"1068 42,56",USD,SRC_120
100211,September 19 2023,C006428,P00214,3,"1475 73,02",EUR,SRC_239
100212,2022/12/06,,P00700,-1,180,PLN,SRC_203
100213,2022-11-23,,P00825,-1,794,EUR,SRC_130
100214,01-07-2024,C011103,P99999,-1,null,PLN,SRC_143
100215,2023.11.07,,P99999,-1,null,EUR,SRC_50
100216,15/12/2024,,P00798,5,1107,PLN,SRC_36
100217,2024.04.08,C003688,P01407,-1,"1377 25,02",EUR,SRC_229
100218,02-08-2022,,P99999,-1,null,USD,SRC_196
100219,08/04/2023,,P00144,5,535,EUR,SRC_193
100220,28-06-2022,C003419,P01016,-1,"1470 39,18",EUR,SRC_206
100221,24/09/2023,C008623,P00093,-1,"1398 07,83",EUR,SRC_131
100222,May 26 2024,,P00684,-1,null,USD,SRC_229
100223,2024/02/25,,P99999,4,"464 49,08",EUR,SRC_121
100224,2023-07-30,C005837,P00889,-1,null,EUR,SRC_131
100225,2022/11/17,,P99999,-1,null,EUR,SRC_175
100226,2024/01/11,,P00415,4,183,USD,SRC_66
100227,26-06-2022,,P00052,1,"690 52,86",USD,SRC_85
100228,23/05/2024,,P99999,-1,"803 42,33",PLN,SRC_77
100229,2024-08-22,,P00234,-1,null,USD,SRC_201
100230,December 01 2022,,P99999,2,761,PLN,SRC_117
100231,2024.01.28,,P00529,-1,"1216 81,65",USD,SRC_115
100232,10-01-2024,,P99999,3,1204,EUR,SRC_9
100233,2023.11.11,,P99999,5,"1269 84,98",PLN,SRC_242
100234,August 17 2024,,P99999,-1,null,PLN,SRC_222
100235,November 29 2024,,P01412,-1,null,USD,SRC_170
100236,2024/08/12,,P99999,3,1280,USD,SRC_196
100237,2022.01.16,,P99999,5,"1124 91,57",EUR,SRC_241
100238,December 23 2022,,P99999,1,"738 57,70",EUR,SRC_201
100239,2022.06.24,C006662,P00826,-1,"453 48,60",USD,SRC_136
100240,11/10/2024,,P00041,1,"834 54,53",EUR,SRC_44
100241,2023/09/29,,P99999,-1,"372 94,09",PLN,SRC_80
100242,09-08-2024,,P00371,-1,887,PLN,SRC_176
100243,2024-07-22,,P99999,-1,703,USD,SRC_95
100244,20/12/2022,C005168,P01223,1,476,PLN,SRC_65
100245,2023.11.30,,P00979,-1,"664 66,23",USD,SRC_29
100246,2023-11-14,C007284,P01236,4,1357,USD,SRC_156
100247,2023-02-09,C003432,P99999,3,839,PLN,SRC_90
100248,2023-10-23,,P00501,2,710,USD,SRC_104
100249,2024.07.12,C009760,P99999,-1,null,EUR,SRC_1
100250,January 09 2024,,P01485,3,"402 05,08",EUR,SRC_79
100251,January 30 2024,,P00964,-1,null,EUR,SRC_185
100252,26-09-2023,C008319,P99999,2,null,PLN,SRC_163
100253,February 25 2022,C011627,P00562,-1,"320 78,78",PLN,SRC_158
100254,2022.12.25,,P99999,-1,"1253 84,61",PLN,SRC_148
100255,01-03-2023,C007866,P00243,2,null,USD,SRC_50
100256,2022-03-25,C006047,P99999,-1,181,USD,SRC_193
100257,2022/05/05,,P01050,2,32,USD,SRC_179
100258,July 08 2023,C008532,P00162,-1,21,EUR,SRC_68
100259,06/02/2023,,P00220,-1,null,USD,SRC_166
100260,24-09-2022,,P00970,-1,"1292 84,06",PLN,SRC_98
100261,2023-08-23,,P99999,5,null,USD,SRC_53
100262,2024-03-25,C009339,P99999,5,null,PLN,SRC_190
100263,2024-05-02,,P00597,-1,1361,USD,SRC_127
100264,02/03/2023,C000963,P99999,1,null,PLN,SRC_92
100265,28/03/2023,,P99999,5,108,EUR,SRC_71
100266,2023.11.08,C005837,P99999,5,84,USD,SRC_229
100267,2024/07/11,C004738,P00164,3,"1180 12,80",USD,SRC_165
100268,2022/05/31,,P99999,-1,null,USD,SRC_218
100269,15-02-2024,C011733,P00534,-1,null,USD,SRC_170
100270,23-12-2024,,P99999,4,"1266 91,69",EUR,SRC_7
100271,March 15 2023,C007724,P00169,-1,null,USD,SRC_79
100272,2024.11.29,,P99999,-1,"1148 09,24",USD,SRC_152
100273,2023/12/16,C010712,P00560,3,null,USD,SRC_99
100274,June 03 2022,C000548,P99999,-1,null,USD,SRC_35
100275,2023/01/29,,P00212,-1,671,PLN,SRC_180
100276,28/02/2024,,P00883,-1,null,USD,SRC_145
100277,2024-07-01,C001026,P01253,2,"702 18,75",EUR,SRC_207
100278,2024-06-02,C001813,P00630,-1,null,EUR,SRC_238
100279,2022/10/05,C006739,P00269,-1,"1482 72,38",USD,SRC_217
100280,2022-05-04,C001261,P00337,2,1207,EUR,SRC_95
100281,2024/03/10,C007613,P00382,5,223,PLN,SRC_79
100282,July 31 2023,C002783,P01034,-1,134,PLN,SRC_132
100283,2022.01.28,,P00752,-1,160,USD,SRC_60
100284,24/03/2024,,P01007,1,398,EUR,SRC_245
100285,2022-09-08,,P99999,4,null,EUR,SRC_152
100286,2024/01/02,C006030,P99999,3,"1303 40,17",EUR,SRC_51
100287,20-09-2022,C005005,P99999,2,null,PLN,SRC_165
100288,28/07/2024,,P00217,3,707,USD,SRC_193
100289,16/08/2022,,P99999,-1,"485 07,27",EUR,SRC_218
100290,14/05/2022,C000256,P00236,2,"596 54,38",PLN,SRC_73
100291,May 24 2023,,P01028,-1,292,EUR,SRC_7
100292,September 17 2022,,P99999,-1,1081,USD,SRC_48
100293,December 21 2023,,P99999,1,null,EUR,SRC_202
100294,17-08-2023,,P00925,-1,null,PLN,SRC_243
100295,March 24 2022,C001854,P99999,-1,null,PLN,SRC_33
100296,2022-04-04,C001082,P00990,3,null,PLN,SRC_61
100297,11/10/2022,C009042,P00623,2,null,USD,SRC_226
100298,2024.08.23,,P99999,-1,null,USD,SRC_85
100299,2022-05-20,,P99999,2,"1213 07,25",EUR,SRC_166
100300,26-01-2024,C006564,P99999,3,639,USD,SRC_138
100301,2023/08/08,,P01189,4,1149,EUR,SRC_222
100302,22-02-2022,C010978,P99999,1,1314,EUR,SRC_13
100303,04/05/2022,,P99999,-1,"648 29,56",EUR,SRC_100
100304,2024-05-26,,P99999,4,175,PLN,SRC_135
100305,2022/12/12,,P00902,-1,875,USD,SRC_190
100306,2023.08.21,C011473,P00947,2,234,EUR,SRC_127
100307,2023.11.01,C001980,P99999,-1,null,PLN,SRC_186
100308,31-07-2024,C011783,P99999,-1,"1312 81,47",PLN,SRC_6
100309,May 26 2022,C003208,P00536,-1,"372 44,75",USD,SRC_47
